rank,feature,mean_abs_shap
1,egfr_ml_min,0.88493535
2,creatinine_mgdl,0.17903754
3,vitamin_b12_pgml,0.00601549
4,smoker,0.00537238
5,albumin_gdl,0.00526092
6,alcohol_units_per_week,0.00455262
7,physical_activity_level,0.00429623
8,dbp_mmHg,0.00401107
9,folate_ngml,0.00395241
10,heart_rate_bpm,0.00367464
11,y_rbc_10^12_per_L,0.00351568
12,iron_ugdl,0.00278627
13,wbc_10^9_per_L,0.00277742
14,plt_10^9_per_L,0.00270196
15,sbp_mmHg,0.00268587
16,ferritin_ngml,0.00247144
17,vitamin_d_ngml,0.00206613
18,crp_mgL,0.00130565
