rank,feature,mean_abs_shap
1,egfr_ml_min,0.91082547
2,creatinine_mgdl,0.17523581
3,albumin_gdl,0.00812151
4,dbp_mmHg,0.00482435
5,folate_ngml,0.00442690
6,y_rbc_10^12_per_L,0.00439134
7,iron_ugdl,0.00422056
8,physical_activity_level,0.00400509
9,vitamin_b12_pgml,0.00368399
10,sbp_mmHg,0.00344121
11,alcohol_units_per_week,0.00308064
12,plt_10^9_per_L,0.00284153
13,wbc_10^9_per_L,0.00269228
14,crp_mgL,0.00262938
15,smoker,0.00249128
16,heart_rate_bpm,0.00248509
17,ferritin_ngml,0.00231100
18,vitamin_d_ngml,0.00155220
