rank,feature,mean_abs_shap
1,egfr_ml_min,0.88293126
2,creatinine_mgdl,0.16055896
3,albumin_gdl,0.00518220
4,dbp_mmHg,0.00400314
5,smoker,0.00363452
6,y_rbc_10^12_per_L,0.00351084
7,iron_ugdl,0.00338167
8,heart_rate_bpm,0.00333986
9,physical_activity_level,0.00315859
10,ferritin_ngml,0.00297106
11,wbc_10^9_per_L,0.00288334
12,vitamin_b12_pgml,0.00282508
13,sbp_mmHg,0.00278665
14,folate_ngml,0.00262999
15,alcohol_units_per_week,0.00262725
16,crp_mgL,0.00253842
17,plt_10^9_per_L,0.00190800
18,vitamin_d_ngml,0.00138041
