rank,feature,mean_abs_shap
1,Albumin (g/dl),0.15506401
2,3-Hydroxyisobutyric acid (mM),0.11157451
3,Urate (mg/dl),0.10248367
4,"1,5-Anhydrosorbitol (mM)",0.10238444
5,Glucose (mM),0.09647743
6,LDL cholesterol (mg/dl),0.09314897
7,Dimethylsulfone (mM),0.09164915
8,Erythrocyte sedimentation rate (mm/h),0.09000508
9,Citric acid (mM),0.08937061
10,Urea (mg/dl),0.07455558
11,Alanine (mM),0.07190190
12,Glutamine (mM),0.06911714
13,Leukocytes (G/l),0.06865385
14,Estimated Glomerular Filtration Rate (ml/min/1.73m²),0.06859708
15,Ornithine (mM),0.06284615
16,SPC (mM),0.06140621
17,Urea to creatinine ratio (unitless),0.06036541
18,Choline (mM),0.05918886
19,Cystine (mM),0.05729251
20,BCAA to AAA (Phe+Tyr) ratio (unitless),0.05615906
21,Serine (mM),0.05488014
22,Triglycerides (mg/dl),0.05405979
23,Myo-inositol (mM),0.05404911
24,Non-albumin protein (g/dl),0.05361643
25,Acetoacetic acid (mM),0.05271414
26,Leucine (mM),0.05256247
27,Creatinine (mM),0.05019716
28,Glyc A (mM),0.04953361
29,Platelets (G/l),0.04464810
30,Apolipoprotein B (mg/ml),0.04242866
31,Calcium (mg/dl),0.04241195
32,Formic acid (mM),0.04190134
33,Tyrosine (mM),0.04000955
34,Creatine (mM),0.03926468
35,Erythrocytes (T/l),0.03501884
36,Histidine (mM),0.03406613
37,Sarcosine (mM),0.03334854
38,Glutamic acid (mM),0.03254893
39,Phenylalanine (mM),0.03059850
40,Glycerol (mM),0.03031604
41,GlycB to GlycA ratio (unitless),0.02906232
42,Succinic acid (mM),0.02881079
43,HDL cholesterol (mg/dl),0.02496912
44,Glycine (mM),0.02415814
45,Acetone (mM),0.02399589
46,2-Aminobutyric acid (mM),0.02307540
47,Threonine (mM),0.02241859
48,Transferrin (mg/dl),0.02203800
49,Glutamine to glutamate ratio (unitless),0.02112245
50,Methanol (mM),0.02056589
51,Asparagine (mM),0.02055969
52,Ethanol (mM),0.02008040
53,Lactate to pyruvate ratio (unitless),0.02002142
54,Dimethylamine (mM),0.01952212
55,Betaine (mM),0.01901315
56,Proline (mM),0.01898743
57,2-Hydroxybutyric acid (mM),0.01880202
58,"N,N-Dimethylglycine (mM)",0.01812777
59,Lactic acid (mM),0.01743912
60,Lysine (mM),0.01737890
61,Lipoprotein(a) (mg/dl),0.01674835
62,Pyruvic acid (mM),0.01517853
63,Aspartate (mM),0.01483902
64,Trimethylamine-N-oxide (mM),0.01469596
65,C reactive protein (mg/dl),0.01396120
66,2-Oxoglutaric acid (mM),0.01320020
67,Acetic acid (mM),0.01305762
68,Arginine (mM),0.01263749
69,Iron (µg/dl),0.01189560
70,Methionine (mM),0.01165089
71,Bilirubin (mg/dl),0.00978209
72,D-Galactose (mM),0.00848106
