feature,score,original_position
"1,5-Anhydrosorbitol (mM)",1.188935,0
2-Aminobutyric acid (mM),1.009031,1
2-Hydroxybutyric acid (mM),0.889212,2
2-Oxoglutaric acid (mM),0.801031,3
3-Hydroxyisobutyric acid (mM),1.222581,4
Acetic acid (mM),0.900675,5
Acetoacetic acid (mM),1.054728,6
Acetone (mM),0.781202,7
Alanine (mM),0.949962,8
Albumin (g/dl),1.743779,9
Apolipoprotein B (mg/ml),0.958588,10
Arginine (mM),0.781038,11
Asparagine (mM),0.921364,12
Aspartate (mM),0.813819,13
BCAA to AAA (Phe+Tyr) ratio (unitless),0.718186,14
Betaine (mM),0.789938,15
Bilirubin (mg/dl),0.889972,16
C reactive protein (mg/dl),0.793975,17
Calcium (mg/dl),1.248600,18
Choline (mM),1.005978,19
Citric acid (mM),0.970423,20
Creatine (mM),0.914145,21
Creatinine (mM),0.699707,22
Cystine (mM),1.216426,23
D-Galactose (mM),0.910863,24
Dimethylamine (mM),0.774381,25
Dimethylsulfone (mM),1.672678,26
Erythrocyte sedimentation rate (mm/h),1.869023,27
Erythrocytes (T/l),1.253120,28
Estimated Glomerular Filtration Rate (ml/min/1.73m²),1.006951,29
Ethanol (mM),1.013829,30
Formic acid (mM),1.122661,31
Glucose (mM),1.202179,32
Glutamic acid (mM),0.819438,33
Glutamine (mM),1.036305,34
Glutamine to glutamate ratio (unitless),1.119070,35
Glyc A (mM),1.116141,36
GlycB to GlycA ratio (unitless),0.885875,37
Glycerol (mM),0.791399,38
Glycine (mM),0.938201,39
HDL cholesterol (mg/dl),0.998821,40
Histidine (mM),0.925233,41
Iron (µg/dl),0.764667,42
LDL cholesterol (mg/dl),1.815086,43
Lactate to pyruvate ratio (unitless),0.830390,44
Lactic acid (mM),0.785039,45
Leucine (mM),1.065344,46
Leukocytes (G/l),1.030802,47
Lipoprotein(a) (mg/dl),0.819684,48
Lysine (mM),0.889663,49
Methanol (mM),0.850597,50
Methionine (mM),0.801895,51
Myo-inositol (mM),0.970474,52
"N,N-Dimethylglycine (mM)",0.734999,53
Non-albumin protein (g/dl),1.018353,54
Ornithine (mM),1.161427,55
Phenylalanine (mM),0.742046,56
Platelets (G/l),1.012314,57
Proline (mM),0.762961,58
Pyruvic acid (mM),0.821260,59
SPC (mM),1.184907,60
Sarcosine (mM),1.003181,61
Serine (mM),1.102638,62
Succinic acid (mM),0.773143,63
Threonine (mM),0.905568,64
Transferrin (mg/dl),1.050556,65
Triglycerides (mg/dl),1.146829,66
Trimethylamine-N-oxide (mM),0.750299,67
Tyrosine (mM),0.940111,68
Urate (mg/dl),1.247799,69
Urea (mg/dl),1.098715,70
Urea to creatinine ratio (unitless),1.199799,71
