rank,feature,mean_abs_shap
1,egfr_ml_min,0.90753058
2,creatinine_mgdl,0.17522774
3,albumin_gdl,0.00876338
4,physical_activity_level,0.00592080
5,folate_ngml,0.00471583
6,iron_ugdl,0.00468525
7,wbc_10^9_per_L,0.00410000
8,vitamin_b12_pgml,0.00377180
9,y_rbc_10^12_per_L,0.00370076
10,dbp_mmHg,0.00365150
11,smoker,0.00358723
12,alcohol_units_per_week,0.00334806
13,ferritin_ngml,0.00329395
14,heart_rate_bpm,0.00323970
15,vitamin_d_ngml,0.00313370
16,crp_mgL,0.00264279
17,sbp_mmHg,0.00236052
18,plt_10^9_per_L,0.00217486
