rank,feature,mean_abs_shap
1,egfr_ml_min,0.88435038
2,creatinine_mgdl,0.16956447
3,vitamin_b12_pgml,0.00611972
4,alcohol_units_per_week,0.00507970
5,folate_ngml,0.00435728
6,albumin_gdl,0.00407070
7,physical_activity_level,0.00364731
8,crp_mgL,0.00328321
9,heart_rate_bpm,0.00323476
10,y_rbc_10^12_per_L,0.00310986
