rank,feature,mean_abs_shap
1,egfr_ml_min,0.88443506
2,creatinine_mgdl,0.19157865
3,albumin_gdl,0.00602634
4,dbp_mmHg,0.00583868
5,heart_rate_bpm,0.00457364
6,folate_ngml,0.00423217
7,wbc_10^9_per_L,0.00415685
8,smoker,0.00388683
9,plt_10^9_per_L,0.00360416
10,crp_mgL,0.00320229
11,iron_ugdl,0.00305635
12,ferritin_ngml,0.00291069
13,physical_activity_level,0.00289789
14,vitamin_b12_pgml,0.00288499
15,alcohol_units_per_week,0.00287656
16,sbp_mmHg,0.00195076
17,y_rbc_10^12_per_L,0.00163089
18,vitamin_d_ngml,0.00065322
