feature,score,original_position,ranking
Albumin (g/dl),0.163058,9,1
"1,5-Anhydrosorbitol (mM)",0.103943,0,2
Dimethylsulfone (mM),0.098138,26,3
LDL cholesterol (mg/dl),0.096897,43,4
3-Hydroxyisobutyric acid (mM),0.094209,4,5
Glucose (mM),0.090924,32,6
Urate (mg/dl),0.086719,69,7
Leukocytes (G/l),0.083944,47,8
Cystine (mM),0.083567,23,9
Erythrocyte sedimentation rate (mm/h),0.075044,27,10
Leucine (mM),0.071777,46,11
Alanine (mM),0.069692,8,12
SPC (mM),0.068336,60,13
Estimated Glomerular Filtration Rate (ml/min/1.73m²),0.065482,29,14
Citric acid (mM),0.063412,20,15
Triglycerides (mg/dl),0.063313,66,16
Urea (mg/dl),0.062690,70,17
Choline (mM),0.062287,19,18
Glutamine (mM),0.061774,34,19
Urea to creatinine ratio (unitless),0.061015,71,20
Ornithine (mM),0.059051,55,21
Myo-inositol (mM),0.054938,52,22
Serine (mM),0.051143,62,23
Acetoacetic acid (mM),0.050460,6,24
Non-albumin protein (g/dl),0.049579,54,25
Tyrosine (mM),0.048392,68,26
BCAA to AAA (Phe+Tyr) ratio (unitless),0.042922,14,27
Creatinine (mM),0.040867,22,28
Glyc A (mM),0.038561,36,29
Glutamic acid (mM),0.037405,33,30
Formic acid (mM),0.037326,31,31
Platelets (G/l),0.034947,57,32
Succinic acid (mM),0.032910,63,33
Creatine (mM),0.029699,21,34
Histidine (mM),0.029090,41,35
Apolipoprotein B (mg/ml),0.026829,10,36
Erythrocytes (T/l),0.026631,28,37
GlycB to GlycA ratio (unitless),0.026280,37,38
Calcium (mg/dl),0.025524,18,39
Methanol (mM),0.024505,50,40
Glycine (mM),0.023212,39,41
Glycerol (mM),0.021600,38,42
Ethanol (mM),0.021326,30,43
Transferrin (mg/dl),0.021269,65,44
Pyruvic acid (mM),0.020822,59,45
Dimethylamine (mM),0.019948,25,46
2-Aminobutyric acid (mM),0.019936,1,47
Lysine (mM),0.019391,49,48
Phenylalanine (mM),0.019213,56,49
Trimethylamine-N-oxide (mM),0.018820,67,50
Betaine (mM),0.018813,15,51
Acetic acid (mM),0.018184,5,52
Acetone (mM),0.017330,7,53
Iron (µg/dl),0.016739,42,54
Proline (mM),0.016612,58,55
2-Oxoglutaric acid (mM),0.016574,3,56
Asparagine (mM),0.016413,12,57
Threonine (mM),0.016233,64,58
Glutamine to glutamate ratio (unitless),0.016172,35,59
2-Hydroxybutyric acid (mM),0.015777,2,60
Sarcosine (mM),0.015308,61,61
"N,N-Dimethylglycine (mM)",0.014793,53,62
Lactic acid (mM),0.014438,45,63
Lactate to pyruvate ratio (unitless),0.013066,44,64
Aspartate (mM),0.012552,13,65
C reactive protein (mg/dl),0.010310,17,66
HDL cholesterol (mg/dl),0.010221,40,67
Bilirubin (mg/dl),0.010004,16,68
Methionine (mM),0.009695,51,69
D-Galactose (mM),0.008516,24,70
Arginine (mM),0.008296,11,71
Lipoprotein(a) (mg/dl),0.007835,48,72
