feature,score,original_position,ranking
Erythrocyte sedimentation rate (mm/h),1.690727,27,1
Albumin (g/dl),1.669903,9,2
Dimethylsulfone (mM),1.605837,26,3
LDL cholesterol (mg/dl),1.528775,43,4
Cystine (mM),1.398244,23,5
Urate (mg/dl),1.393443,69,6
"1,5-Anhydrosorbitol (mM)",1.287168,0,7
Erythrocytes (T/l),1.266930,28,8
Glucose (mM),1.265010,32,9
3-Hydroxyisobutyric acid (mM),1.264222,4,10
Ornithine (mM),1.180219,55,11
Citric acid (mM),1.179488,20,12
Urea (mg/dl),1.144686,70,13
Estimated Glomerular Filtration Rate (ml/min/1.73m²),1.131266,29,14
Glutamine (mM),1.092275,34,15
Tyrosine (mM),1.090383,68,16
Glutamine to glutamate ratio (unitless),1.070212,35,17
Calcium (mg/dl),1.059694,18,18
Lysine (mM),1.043161,49,19
Glyc A (mM),1.037483,36,20
C reactive protein (mg/dl),1.029577,17,21
Glycine (mM),1.018729,39,22
Serine (mM),1.015977,62,23
Acetoacetic acid (mM),1.010987,6,24
Choline (mM),1.010041,19,25
Leucine (mM),1.005605,46,26
HDL cholesterol (mg/dl),0.987846,40,27
Triglycerides (mg/dl),0.987464,66,28
Platelets (G/l),0.986040,57,29
Alanine (mM),0.983240,8,30
Formic acid (mM),0.983177,31,31
Glutamic acid (mM),0.982482,33,32
2-Aminobutyric acid (mM),0.971998,1,33
BCAA to AAA (Phe+Tyr) ratio (unitless),0.965376,14,34
Threonine (mM),0.960237,64,35
Urea to creatinine ratio (unitless),0.954702,71,36
Apolipoprotein B (mg/ml),0.954391,10,37
"N,N-Dimethylglycine (mM)",0.953260,53,38
Methanol (mM),0.940339,50,39
Creatinine (mM),0.937920,22,40
Glycerol (mM),0.934688,38,41
Succinic acid (mM),0.933101,63,42
GlycB to GlycA ratio (unitless),0.926330,37,43
Leukocytes (G/l),0.923487,47,44
Lactate to pyruvate ratio (unitless),0.919884,44,45
Iron (µg/dl),0.906550,42,46
Dimethylamine (mM),0.897390,25,47
Lactic acid (mM),0.897117,45,48
SPC (mM),0.880938,60,49
Lipoprotein(a) (mg/dl),0.876997,48,50
2-Hydroxybutyric acid (mM),0.871039,2,51
Non-albumin protein (g/dl),0.868093,54,52
Phenylalanine (mM),0.864298,56,53
Myo-inositol (mM),0.852921,52,54
Betaine (mM),0.845172,15,55
Acetone (mM),0.843854,7,56
Aspartate (mM),0.833226,13,57
Histidine (mM),0.828102,41,58
Bilirubin (mg/dl),0.824154,16,59
Methionine (mM),0.811902,51,60
Asparagine (mM),0.811644,12,61
Sarcosine (mM),0.807825,61,62
Pyruvic acid (mM),0.804433,59,63
Proline (mM),0.802774,58,64
Creatine (mM),0.802368,21,65
Transferrin (mg/dl),0.799578,65,66
Acetic acid (mM),0.791344,5,67
Ethanol (mM),0.783075,30,68
2-Oxoglutaric acid (mM),0.776024,3,69
D-Galactose (mM),0.764476,24,70
Arginine (mM),0.747165,11,71
Trimethylamine-N-oxide (mM),0.731554,67,72
