rank,feature,mean_abs_shap
1,egfr_ml_min,0.90694727
2,creatinine_mgdl,0.17725106
3,albumin_gdl,0.00763706
4,y_rbc_10^12_per_L,0.00605112
5,folate_ngml,0.00466549
6,dbp_mmHg,0.00433498
7,vitamin_b12_pgml,0.00422434
8,iron_ugdl,0.00416022
9,physical_activity_level,0.00404833
10,heart_rate_bpm,0.00385814
11,alcohol_units_per_week,0.00381089
12,smoker,0.00376652
13,wbc_10^9_per_L,0.00341908
14,plt_10^9_per_L,0.00328074
15,crp_mgL,0.00321200
16,sbp_mmHg,0.00294088
17,ferritin_ngml,0.00267573
18,vitamin_d_ngml,0.00190208
