feature,score,original_position,ranking
Albumin (g/dl),1.855669,9,1
Dimethylsulfone (mM),1.580567,26,2
Cystine (mM),1.447376,23,3
Erythrocyte sedimentation rate (mm/h),1.423753,27,4
LDL cholesterol (mg/dl),1.368813,43,5
Glucose (mM),1.223859,32,6
GlycB to GlycA ratio (unitless),1.195572,37,7
Tyrosine (mM),1.187455,68,8
Calcium (mg/dl),1.186798,18,9
Urea (mg/dl),1.180792,70,10
Urea to creatinine ratio (unitless),1.173536,71,11
"1,5-Anhydrosorbitol (mM)",1.163955,0,12
Triglycerides (mg/dl),1.130144,66,13
Glycine (mM),1.127722,39,14
3-Hydroxyisobutyric acid (mM),1.120985,4,15
Citric acid (mM),1.112712,20,16
HDL cholesterol (mg/dl),1.096232,40,17
Serine (mM),1.095732,62,18
SPC (mM),1.069509,60,19
Glutamic acid (mM),1.056449,33,20
Ornithine (mM),1.051086,55,21
Estimated Glomerular Filtration Rate (ml/min/1.73m²),1.046842,29,22
Urate (mg/dl),1.046442,69,23
Alanine (mM),1.038640,8,24
2-Hydroxybutyric acid (mM),1.035862,2,25
Leukocytes (G/l),1.032799,47,26
Erythrocytes (T/l),1.024259,28,27
Transferrin (mg/dl),1.017366,65,28
Glutamine (mM),1.010433,34,29
Leucine (mM),0.989980,46,30
Acetoacetic acid (mM),0.989710,6,31
2-Aminobutyric acid (mM),0.987952,1,32
Methanol (mM),0.973012,50,33
Formic acid (mM),0.961554,31,34
Threonine (mM),0.960875,64,35
Lactic acid (mM),0.950607,45,36
Non-albumin protein (g/dl),0.950574,54,37
Apolipoprotein B (mg/ml),0.939540,10,38
Choline (mM),0.935714,19,39
Creatine (mM),0.935343,21,40
Platelets (G/l),0.927499,57,41
Myo-inositol (mM),0.925868,52,42
BCAA to AAA (Phe+Tyr) ratio (unitless),0.924078,14,43
Glyc A (mM),0.910070,36,44
Trimethylamine-N-oxide (mM),0.905940,67,45
Histidine (mM),0.903655,41,46
Lactate to pyruvate ratio (unitless),0.901587,44,47
Phenylalanine (mM),0.898638,56,48
Glycerol (mM),0.890531,38,49
Lipoprotein(a) (mg/dl),0.887102,48,50
Sarcosine (mM),0.886223,61,51
Methionine (mM),0.884586,51,52
Asparagine (mM),0.876378,12,53
Succinic acid (mM),0.874647,63,54
Creatinine (mM),0.867445,22,55
Glutamine to glutamate ratio (unitless),0.864893,35,56
Proline (mM),0.864577,58,57
Lysine (mM),0.851120,49,58
D-Galactose (mM),0.847036,24,59
Betaine (mM),0.844925,15,60
Bilirubin (mg/dl),0.844202,16,61
Iron (µg/dl),0.838181,42,62
"N,N-Dimethylglycine (mM)",0.824458,53,63
Ethanol (mM),0.820310,30,64
Acetic acid (mM),0.813420,5,65
C reactive protein (mg/dl),0.805464,17,66
Acetone (mM),0.804606,7,67
2-Oxoglutaric acid (mM),0.798699,3,68
Dimethylamine (mM),0.767931,25,69
Aspartate (mM),0.767436,13,70
Pyruvic acid (mM),0.754316,59,71
Arginine (mM),0.747959,11,72
