feature,score,original_position,ranking
Erythrocyte sedimentation rate (mm/h),1.771885,27,1
Dimethylsulfone (mM),1.701728,26,2
Albumin (g/dl),1.561587,9,3
LDL cholesterol (mg/dl),1.464655,43,4
Cystine (mM),1.399439,23,5
Urate (mg/dl),1.345948,69,6
Leukocytes (G/l),1.292590,47,7
Glutamine (mM),1.246205,34,8
Glucose (mM),1.241424,32,9
Triglycerides (mg/dl),1.192640,66,10
3-Hydroxyisobutyric acid (mM),1.178172,4,11
Choline (mM),1.152520,19,12
Glycine (mM),1.151396,39,13
Leucine (mM),1.110693,46,14
Erythrocytes (T/l),1.091562,28,15
BCAA to AAA (Phe+Tyr) ratio (unitless),1.086923,14,16
Glutamine to glutamate ratio (unitless),1.081663,35,17
"1,5-Anhydrosorbitol (mM)",1.072811,0,18
Formic acid (mM),1.071165,31,19
Urea (mg/dl),1.059816,70,20
Tyrosine (mM),1.056790,68,21
Non-albumin protein (g/dl),1.051878,54,22
Urea to creatinine ratio (unitless),1.040592,71,23
Pyruvic acid (mM),1.039872,59,24
Methionine (mM),1.037360,51,25
Platelets (G/l),1.026430,57,26
Bilirubin (mg/dl),1.015115,16,27
GlycB to GlycA ratio (unitless),1.006385,37,28
Glutamic acid (mM),0.996769,33,29
Ornithine (mM),0.996702,55,30
Trimethylamine-N-oxide (mM),0.989107,67,31
Estimated Glomerular Filtration Rate (ml/min/1.73m²),0.986893,29,32
Ethanol (mM),0.983519,30,33
Myo-inositol (mM),0.983036,52,34
Apolipoprotein B (mg/ml),0.970828,10,35
SPC (mM),0.969502,60,36
Threonine (mM),0.967326,64,37
Serine (mM),0.958406,62,38
Transferrin (mg/dl),0.951950,65,39
Betaine (mM),0.937587,15,40
Citric acid (mM),0.937447,20,41
Iron (µg/dl),0.932171,42,42
Alanine (mM),0.921126,8,43
Glycerol (mM),0.900836,38,44
Histidine (mM),0.895694,41,45
2-Oxoglutaric acid (mM),0.894321,3,46
Acetone (mM),0.884197,7,47
Acetic acid (mM),0.877131,5,48
HDL cholesterol (mg/dl),0.876756,40,49
Glyc A (mM),0.872261,36,50
Calcium (mg/dl),0.866705,18,51
Lactate to pyruvate ratio (unitless),0.862891,44,52
Lipoprotein(a) (mg/dl),0.853188,48,53
Arginine (mM),0.842491,11,54
Methanol (mM),0.840369,50,55
Proline (mM),0.833312,58,56
Acetoacetic acid (mM),0.829602,6,57
2-Aminobutyric acid (mM),0.829306,1,58
D-Galactose (mM),0.822078,24,59
Creatinine (mM),0.814570,22,60
Asparagine (mM),0.805817,12,61
Aspartate (mM),0.803205,13,62
Lysine (mM),0.802050,49,63
Phenylalanine (mM),0.800477,56,64
Creatine (mM),0.799093,21,65
2-Hydroxybutyric acid (mM),0.787342,2,66
Succinic acid (mM),0.779923,63,67
"N,N-Dimethylglycine (mM)",0.777908,53,68
Lactic acid (mM),0.777564,45,69
Sarcosine (mM),0.752205,61,70
C reactive protein (mg/dl),0.747023,17,71
Dimethylamine (mM),0.740085,25,72
