feature,score,original_position,ranking
Dimethylsulfone (mM),2.068452,26,1
Erythrocyte sedimentation rate (mm/h),2.030534,27,2
LDL cholesterol (mg/dl),1.635959,43,3
Albumin (g/dl),1.593908,9,4
Cystine (mM),1.576702,23,5
Urate (mg/dl),1.438517,69,6
Glucose (mM),1.285154,32,7
Leukocytes (G/l),1.261862,47,8
Triglycerides (mg/dl),1.253403,66,9
"1,5-Anhydrosorbitol (mM)",1.247056,0,10
3-Hydroxyisobutyric acid (mM),1.235897,4,11
Leucine (mM),1.232943,46,12
Glutamine to glutamate ratio (unitless),1.225108,35,13
Erythrocytes (T/l),1.206500,28,14
Glycine (mM),1.183559,39,15
Citric acid (mM),1.178741,20,16
Urea (mg/dl),1.178189,70,17
Glutamine (mM),1.175348,34,18
Choline (mM),1.148809,19,19
Serine (mM),1.139302,62,20
Ethanol (mM),1.129214,30,21
Formic acid (mM),1.102814,31,22
Platelets (G/l),1.101552,57,23
Estimated Glomerular Filtration Rate (ml/min/1.73m²),1.096964,29,24
Tyrosine (mM),1.095981,68,25
Glutamic acid (mM),1.080667,33,26
Acetone (mM),1.068875,7,27
Urea to creatinine ratio (unitless),1.066809,71,28
Methionine (mM),1.065599,51,29
Transferrin (mg/dl),1.064415,65,30
Pyruvic acid (mM),1.055885,59,31
Ornithine (mM),1.043966,55,32
SPC (mM),1.028021,60,33
BCAA to AAA (Phe+Tyr) ratio (unitless),1.008159,14,34
Lactate to pyruvate ratio (unitless),0.991274,44,35
Non-albumin protein (g/dl),0.987073,54,36
Betaine (mM),0.985649,15,37
Bilirubin (mg/dl),0.984491,16,38
Glycerol (mM),0.983608,38,39
Acetoacetic acid (mM),0.964564,6,40
Calcium (mg/dl),0.963738,18,41
Creatinine (mM),0.961985,22,42
GlycB to GlycA ratio (unitless),0.955030,37,43
Glyc A (mM),0.954720,36,44
Trimethylamine-N-oxide (mM),0.951615,67,45
Apolipoprotein B (mg/ml),0.939582,10,46
Myo-inositol (mM),0.928481,52,47
2-Hydroxybutyric acid (mM),0.924828,2,48
Alanine (mM),0.922684,8,49
Threonine (mM),0.920779,64,50
2-Oxoglutaric acid (mM),0.898579,3,51
Lipoprotein(a) (mg/dl),0.897302,48,52
Iron (µg/dl),0.892801,42,53
Methanol (mM),0.891908,50,54
Acetic acid (mM),0.890513,5,55
Proline (mM),0.884688,58,56
"N,N-Dimethylglycine (mM)",0.880051,53,57
C reactive protein (mg/dl),0.878344,17,58
Histidine (mM),0.847045,41,59
2-Aminobutyric acid (mM),0.839330,1,60
HDL cholesterol (mg/dl),0.838262,40,61
Asparagine (mM),0.825049,12,62
Arginine (mM),0.824811,11,63
Succinic acid (mM),0.816519,63,64
Creatine (mM),0.812615,21,65
Sarcosine (mM),0.810120,61,66
Dimethylamine (mM),0.800011,25,67
Lysine (mM),0.786167,49,68
D-Galactose (mM),0.775873,24,69
Phenylalanine (mM),0.774737,56,70
Lactic acid (mM),0.766124,45,71
Aspartate (mM),0.720998,13,72
