rank,feature,mean_abs_shap
1,egfr_ml_min,0.89696838
2,creatinine_mgdl,0.17543727
3,albumin_gdl,0.00616384
4,y_rbc_10^12_per_L,0.00506265
5,heart_rate_bpm,0.00499570
6,vitamin_b12_pgml,0.00426457
7,folate_ngml,0.00386299
8,wbc_10^9_per_L,0.00349032
9,physical_activity_level,0.00307256
10,dbp_mmHg,0.00302428
11,smoker,0.00301520
12,iron_ugdl,0.00264375
13,ferritin_ngml,0.00221214
14,plt_10^9_per_L,0.00220353
15,crp_mgL,0.00208372
16,alcohol_units_per_week,0.00180819
17,vitamin_d_ngml,0.00146160
18,sbp_mmHg,0.00119093
